62	46	1	1	50	0	0	0	0	50	50	50
63	46	1	1	50	0	0	0	0	50	50	50
64	47	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
65	47	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
66	47	24	48	350	140	7953.04	15.89	358.23	40	240	350
67	49	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
68	49	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
69	49	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
70	49	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
71	50	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
72	50	1	1	20	15.8	75.85	163.02	1138.68	20	20	20
73	50	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
74	50	8	4	76	15.2	1060.88	19.64	130.63	20	76	76
75	55	8	8	100	25	4754.4	75.64	839.45	70	100	100
76	55	8	8	100	25	4754.4	75.64	839.45	70	100	100
77	55	8	8	100	25	4754.4	75.64	839.45	70	100	100
78	61	12	10	197	68.95	6510	74.75	1159.93	30	180	197
79	61	12	10	197	68.95	6510	74.75	1159.93	30	180	197
80	61	12	10	197	68.95	6510	74.75	1159.93	30	180	197
81	62	1	1	0	0	0	0	0	0	0	0
82	63	4	2	12	2.4	571.2	94.74	72.68	10	12	12
83	63	4	2	12	2.4	571.2	94.74	72.68	10	12	12
84	63	4	2	12	2.4	571.2	94.74	72.68	10	12	12
85	63	4	2	12	2.4	571.2	94.74	72.68	10	12	12
86	63	4	2	12	2.4	571.2	94.74	72.68	10	12	12
87	63	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
88	64	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
89	66	48	48	400	100	2400	5.46	215.08	200	400	400
90	69	48	48	400	100	2400	5.46	215.08	200	400	400
91	70	1	1	50	0	0	0	0	50	50	50
92	70	1	1	50	0	0	0	0	50	50	50
93	70	1	1	50	0	0	0	0	50	50	50
94	70	1	1	50	0	0	0	0	50	50	50
95	70	1	1	50	0	0	0	0	50	50	50
96	70	1	1	50	0	0	0	0	50	50	50
97	71	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
98	71	8	8	155	54.25	1696.34	15.46	252.67	30	155	155
99	71	24	48	350	140	7953.04	15.89	358.23	40	240	350
